0  1  2
0  2  2
0  3  2
0  4  1
0  5  1
0  6  2
0  7  1
0  8  2
0  9  1
0  10  1
0  11  1
0  12  1
0  13  1
1  0  2
1  2  2
1  3  2
1  5  2
1  6  2
1  7  1
1  8  2
1  9  1
1  10  1
1  11  1
1  12  1
1  13  1
1  14  1
2  0  2
2  1  2
2  3  2
2  5  2
2  6  2
2  7  1
2  8  2
2  9  1
2  10  1
2  11  1
2  12  1
2  13  1
2  14  1
3  0  2
3  1  2
3  2  2
3  4  1
3  5  2
3  6  2
3  7  1
3  8  2
3  9  1
3  10  1
3  11  1
3  13  1
3  14  1
4  0  1
4  3  1
4  7  1
5  0  1
5  1  2
5  2  2
5  3  2
5  6  2
5  7  1
5  8  2
5  9  1
5  10  1
5  11  1
5  12  1
5  14  1
6  0  2
6  1  2
6  2  2
6  3  2
6  5  2
6  8  2
6  9  1
6  10  1
6  11  1
6  12  1
6  13  1
6  14  1
7  0  1
7  1  1
7  2  1
7  3  1
7  4  1
7  5  1
7  8  1
7  9  2
7  10  2
7  11  2
7  12  1
7  13  1
7  14  2
8  0  2
8  1  2
8  2  2
8  3  2
8  5  2
8  6  2
8  7  1
8  9  1
8  10  1
8  11  1
8  12  1
8  13  1
8  14  1
9  0  1
9  1  1
9  2  1
9  3  1
9  5  1
9  6  1
9  7  2
9  8  1
9  10  2
9  11  2
9  12  1
9  14  2
9  15  1
10  0  1
10  1  1
10  2  1
10  3  1
10  5  1
10  6  1
10  7  2
10  8  1
10  9  2
10  11  2
10  12  1
10  13  1
10  14  2
11  0  1
11  1  1
11  2  1
11  3  1
11  5  1
11  6  1
11  7  2
11  8  1
11  9  2
11  10  2
11  12  1
11  13  1
11  14  2
12  0  1
12  1  1
12  2  1
12  5  1
12  6  1
12  7  1
12  8  1
12  9  1
12  10  1
12  11  1
12  14  1
12  16  2
12  21  1
12  22  1
13  0  1
13  1  1
13  2  1
13  3  1
13  6  1
13  7  1
13  8  1
13  10  1
13  11  1
13  14  1
13  15  1
14  1  1
14  2  1
14  3  1
14  5  1
14  6  1
14  7  2
14  8  1
14  9  2
14  10  2
14  11  2
14  12  1
14  13  1
15  9  1
15  13  1
15  16  1
15  17  1
15  18  1
15  19  1
15  20  1
16  12  2
16  15  1
16  17  1
16  21  1
16  22  1
17  15  1
17  16  1
18  15  1
18  19  2
18  20  2
19  15  1
19  18  2
19  20  2
20  15  1
20  18  2
20  19  2
21  12  1
21  16  1
21  22  2
22  12  1
22  16  1
22  21  2
23  24  2
23  25  2
23  26  2
24  23  2
24  25  2
24  26  2
25  23  2
25  24  2
25  26  2
26  23  2
26  24  2
26  25  2
