0 19 38
0 19 51
0 19 50
0 19 49
0 19 48
0 19 47
0 19 46
0 19 45
0 19 44
0 19 43
0 19 42
0 19 41
0 19 40
0 19 39
0 19 22
0 19 21
0 1 4
0 18 84
0 18 97
0 18 96
0 18 95
0 18 89
0 18 91
0 18 83
0 18 90
0 18 94
0 18 93
0 18 92
0 18 85
0 18 82
0 18 88
0 18 99
0 18 98
0 18 86
0 18 102
0 18 81
0 18 87
0 18 100
0 19 20
0 18 101
0.434294 68 75
0.434294 4 15
0.434294 4 13
0.434294 4 12
0.434294 75 93
0.434294 13 75
0.434294 12 68
0.434294 13 68
0.434294 4 75
0.434294 68 93
0.434294 15 68
0.434294 12 93
0.434294 4 68
0.434294 12 75
0.434294 15 75
0.434294 4 93
0.434294 13 15
0.434294 12 15
0.434294 12 13
0.480898 7 39
0.480898 7 52
0.480898 7 44
0.480898 46 52
0.480898 7 46
0.480898 44 46
0.480898 39 44
0.480898 39 46
0.480898 39 52
0.558111 21 91
0.558111 21 30
0.558111 30 91
0.558111 14 34
0.558111 21 62
0.558111 62 91
0.558111 30 62
0.621335 89 100
0.621335 31 63
0.621335 78 84
0.621335 31 41
0.621335 41 63
0.621335 78 88
0.621335 84 89
0.621335 58 100
0.621335 58 89
0.621335 73 84
0.621335 84 100
0.621335 73 78
0.621335 84 88
0.621335 73 88
0.721348 90 92
0.721348 29 55
0.721348 86 92
0.721348 51 92
0.721348 12 55
0.721348 12 29
0.721348 12 25
0.721348 64 67
0.721348 64 69
0.721348 64 71
0.721348 64 77
0.721348 66 81
0.721348 66 86
0.721348 66 90
0.721348 66 92
0.721348 67 69
0.721348 51 90
0.721348 67 71
0.721348 51 86
0.721348 51 66
0.721348 29 59
0.721348 30 31
0.721348 30 70
0.721348 30 77
0.721348 31 36
0.721348 31 70
0.721348 31 77
0.721348 25 55
0.721348 25 29
0.721348 23 59
0.721348 23 29
0.721348 36 70
0.721348 36 77
0.721348 51 81
0.721348 67 77
0.721348 30 36
0.721348 69 71
0.721348 81 86
0.721348 71 77
0.721348 70 77
0.721348 81 92
0.721348 81 90
0.721348 69 77
0.910239 15 60
0.910239 75 89
0.910239 75 86
0.910239 13 53
0.910239 75 94
0.910239 19 63
0.910239 23 79
0.910239 23 63
0.910239 3 40
0.910239 1 63
0.910239 86 89
0.910239 1 19
0.910239 40 53
0.910239 3 53
0.910239 63 79
0.910239 64 94
0.910239 86 94
0.910239 64 86
0.910239 64 75
0.910239 64 89
0.910239 89 94
0.910239 89 90
0.910239 64 90
0.910239 90 94
1.39114 44 52
1.4427 78 93
1.4427 20 96
1.4427 20 90
1.4427 82 97
1.4427 39 73
1.4427 39 87
1.4427 5 7
1.4427 99 101
1.4427 78 97
1.4427 79 92
1.4427 79 93
1.4427 6 79
1.4427 30 48
1.4427 30 64
1.4427 5 6
1.4427 90 96
1.4427 6 7
1.4427 82 93
1.4427 30 98
1.4427 7 79
1.4427 17 63
1.4427 17 20
1.4427 12 50
1.4427 63 82
1.4427 3 59
1.4427 20 63
1.4427 10 98
1.4427 10 30
1.4427 59 71
1.4427 8 33
1.4427 10 48
1.4427 73 87
1.4427 3 71
1.4427 93 97
1.4427 16 63
1.4427 15 79
1.4427 14 75
1.4427 15 92
1.4427 71 84
1.4427 5 79
1.4427 48 98
1.4427 78 82
1.63159 86 90
1.82048 75 90
1.87699 15 93
2.35293 92 93
